Algorithm,Problem,Generations,IGD,GD,HV
MOEA/D,zdt1,500,0.003986289094420849,0.0010799819192950522,0.8711116973307532
MOEA/D,dtlz1,500,0.019696096054591616,0.015505096936454521,1.3038175405955754
MOEA/D,wfg1,500,0.9990647925299795,0.908643861955818,0.0
