Algorithm,Problem,Generations,IGD,GD,HV
MOEA/D,zdt1,500,0.0038869389665673808,0.003869330836245898,0.8711116973307532
MOEA/D,zdt1,500,0.0038869389665673808,0.003869330836245898,0.8711116973307532
MOEA/D,dtlz1,500,0.019696096054591616,0.015505096936454521,1.3038175405955754
MOEA/D,dtlz1,500,0.019696096054591616,0.015505096936454521,1.3038175405955754
MOEA/D,wfg1,500,1.001288849849678,0.9128063560906821,0.0
NSGA2,zdt1,500,0.004200406679948557,0.005026464474517918,0.8706819853365597
NSGA2,zdt1,500,0.004200406679948557,0.005026464474517918,0.8706819853365597
NSGA2,dtlz1,500,0.026704630347658503,0.016226426603183897,1.3017370618397437
NSGA2,dtlz1,500,0.026704630347658503,0.016226426603183897,1.3017370618397437
NSGA2,wfg1,500,0.9734762780065112,0.9045679986885158,0.0
NSGA2,wfg1,500,0.9734762780065112,0.9045679986885158,0.0
SPEA2,zdt1,500,0.00478277841082706,0.005791640096716462,0.8706029867902039
SPEA2,dtlz1,500,0.0213319517564608,0.01586661599703335,1.2923337113611746
SPEA2,wfg1,500,1.2602402395085068,1.1383007520383266,0.0
SPEA2,zdt1,500,0.00478277841082706,0.005791640096716462,0.8706029867902039
SPEA2,dtlz1,500,0.0213319517564608,0.01586661599703335,1.2923337113611746
SPEA2,wfg1,500,1.2602402395085068,1.1383007520383266,0.0
